@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass ,1}

@data
64,35,53,48,36,78,12,20,13,81,41,52,56,38,70,25,57,25,41,39,42,26,56,25,69,25,56,38,41,53,14,80,15,54,14,25,41,25,41,38,14,53,15,39,14,38,15,26,0.0
67,45,49,47,47,64,18,23,25,71,48,48,50,46,70,26,50,26,48,46,48,26,49,25,69,25,49,45,47,47,24,70,25,48,24,25,47,25,47,45,24,47,25,46,24,45,25,26,0.0
69,35,51,52,42,61,27,23,31,65,43,53,55,40,71,24,56,25,43,40,43,25,55,24,70,24,55,39,42,52,30,64,31,53,30,24,42,24,42,39,30,52,31,40,30,39,31,25,0.0
72,36,54,56,38,69,19,16,23,73,39,57,56,39,76,19,57,20,39,39,39,20,56,19,75,19,56,38,38,56,22,72,23,57,22,19,38,19,38,38,22,56,23,39,22,38,23,20,1.0
76,39,47,54,38,66,20,14,24,71,40,55,51,44,79,16,52,17,40,44,40,17,51,16,78,16,51,43,39,55,24,70,25,56,24,16,39,16,39,43,24,55,25,44,24,43,25,17,0.0
80,37,55,50,36,78,8,8,13,83,41,55,57,39,84,12,57,12,41,39,41,12,56,11,83,11,56,38,40,54,12,82,13,55,12,11,40,11,40,38,12,54,13,39,12,38,13,12,0.0
70,44,44,58,34,67,25,16,27,69,36,60,47,48,75,20,48,21,36,48,36,21,47,20,74,20,47,47,35,59,26,68,27,60,26,20,35,20,35,47,26,59,27,48,26,47,27,21,0.0
66,31,61,48,38,73,17,26,20,76,42,53,62,32,68,27,63,27,42,33,43,28,62,27,67,27,62,32,42,52,19,75,20,53,19,27,42,27,42,32,19,52,20,33,19,32,20,28,0.0
58,40,52,53,39,63,29,32,31,65,40,55,53,41,61,34,54,34,40,42,41,35,53,34,60,34,53,41,40,54,30,64,31,55,30,34,40,34,40,41,30,54,31,42,30,41,31,35,0.0
90,18,54,53,25,85,3,2,6,89,33,61,66,29,92,4,66,4,34,29,34,4,65,3,91,3,65,29,33,61,6,88,6,62,6,3,33,3,33,29,6,61,7,30,6,29,7,4,0.0
