@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {0,1}

@data
22,24,52,30,21,71,20,70,18,18,73,55,31,56,31,20,70,21,19,32,62,24,48,68,20,31,18,72,19,74,63,24,63,21,20,24,22,31,18,31,21,31,18,31,21,32,20,31,20,30,1
39,38,51,40,39,55,37,54,35,36,56,51,39,52,41,38,54,36,37,41,53,37,50,54,37,39,36,55,37,57,55,38,54,37,37,37,39,40,36,39,39,41,36,40,38,41,38,39,37,40,1
41,40,48,42,41,53,40,52,38,39,54,49,41,50,43,40,52,37,39,43,51,39,48,52,40,41,39,53,39,54,53,40,52,38,40,39,41,42,39,41,41,43,39,42,40,43,40,41,40,42,1
40,34,53,36,40,54,38,53,37,37,55,55,36,56,37,39,53,32,38,37,57,34,53,52,38,36,37,54,38,56,58,34,58,32,38,34,40,36,37,36,40,37,37,36,39,37,39,36,38,36,1
33,32,56,34,33,61,31,60,29,29,62,57,34,58,35,32,59,31,31,35,59,32,55,59,31,34,30,61,31,63,60,32,60,31,31,32,33,34,30,34,33,35,29,34,32,35,32,34,31,34,1
27,19,47,29,25,59,22,58,13,16,68,54,25,55,28,26,57,11,17,30,64,19,45,52,26,29,17,67,17,68,65,19,65,12,26,19,25,29,17,29,27,30,16,29,26,28,26,25,22,29,0
37,29,58,31,37,56,35,55,31,32,58,60,31,61,32,36,54,27,34,32,62,29,58,54,35,31,33,57,34,59,63,29,63,27,35,29,37,31,33,31,37,32,32,31,36,32,36,31,35,31,0
30,22,65,24,29,62,28,61,25,26,65,66,24,66,25,29,61,20,26,25,69,22,64,59,29,25,26,64,26,65,69,22,69,21,29,22,30,25,26,25,29,25,26,25,29,25,29,24,28,24,0
42,30,55,33,41,48,40,47,33,35,53,57,32,58,33,41,46,28,36,34,60,30,54,44,41,33,36,52,36,53,61,30,61,28,41,30,41,33,36,33,42,34,35,33,41,33,41,32,40,33,0
35,28,57,31,34,52,33,51,20,22,60,58,31,58,32,33,48,26,26,32,62,28,55,46,33,31,26,59,26,60,62,28,62,27,34,28,35,31,26,32,34,32,23,32,33,32,34,32,34,31,1
